index,starttime,endtime,duration,speaker_label
1,0.2578125000000001,1.0678125,0.8099999999999999,SPEAKER_03
2,1.4896875,2.6203125000000007,1.1306250000000007,SPEAKER_03
3,3.3628125000000004,4.7971875,1.4343749999999993,SPEAKER_03
4,5.5903125,6.8559375,1.265625,SPEAKER_03
5,15.9178125,20.4403125,4.522500000000001,SPEAKER_03
6,20.474062500000002,22.313437500000003,1.8393750000000004,SPEAKER_04
7,22.6509375,25.0809375,2.4299999999999997,SPEAKER_04
8,25.1315625,27.578437500000003,2.446875000000002,SPEAKER_03
9,27.5109375,27.949687500000003,0.4387500000000024,SPEAKER_04
10,27.848437500000003,35.3746875,7.526249999999997,SPEAKER_03
11,35.408437500000005,37.6865625,2.2781249999999957,SPEAKER_04
12,37.5009375,46.1071875,8.606250000000003,SPEAKER_03
13,46.1071875,46.782187500000006,0.6750000000000043,SPEAKER_04
14,47.204062500000006,48.99281250000001,1.7887500000000003,SPEAKER_04
15,49.229062500000005,49.8028125,0.5737499999999969,SPEAKER_04
16,50.1234375,59.6915625,9.568125000000002,SPEAKER_04
17,58.89843750000001,61.2946875,2.396249999999995,SPEAKER_03
18,64.7034375,66.0365625,1.3331249999999955,SPEAKER_01
19,68.44968750000001,71.3015625,2.8518749999999926,SPEAKER_01
20,71.23406250000001,72.07781250000001,0.84375,SPEAKER_02
21,72.2971875,74.2378125,1.9406249999999972,SPEAKER_02
22,73.76531250000001,79.63781250000001,5.872500000000002,SPEAKER_01
23,76.5496875,76.88718750000001,0.3375000000000057,SPEAKER_02
24,79.62093750000001,80.8359375,1.2149999999999892,SPEAKER_02
25,80.3465625,90.2859375,9.939374999999998,SPEAKER_01
26,84.44718750000001,84.66656250000001,0.21937499999999943,SPEAKER_00
27,90.62343750000001,98.6896875,8.066249999999997,SPEAKER_01
28,93.2559375,94.18406250000001,0.9281250000000085,SPEAKER_00
29,98.4534375,98.8921875,0.43874999999999886,SPEAKER_02
30,98.99343750000001,102.7396875,3.746249999999989,SPEAKER_01
31,102.80718750000001,104.8321875,2.0249999999999915,SPEAKER_02
32,105.0684375,107.1271875,2.0587500000000034,SPEAKER_02
33,111.3628125,112.6790625,1.3162499999999966,SPEAKER_03
34,115.3790625,118.3153125,2.936250000000001,SPEAKER_00
35,118.19718750000001,124.17093750000001,5.9737499999999955,SPEAKER_03
36,124.17093750000001,124.8796875,0.7087499999999949,SPEAKER_00
37,125.23406250000001,126.5165625,1.2824999999999989,SPEAKER_00
38,126.9890625,131.89968749999997,4.910624999999968,SPEAKER_00
39,131.89968749999997,132.99656249999998,1.0968750000000114,SPEAKER_03
40,133.23281250000002,137.4684375,4.23562499999997,SPEAKER_00
41,137.90718750000002,140.13468749999998,2.2274999999999636,SPEAKER_00
42,140.1009375,141.2653125,1.1643750000000068,SPEAKER_03
43,141.1303125,143.6278125,2.4975000000000023,SPEAKER_00
44,143.6953125,143.9484375,0.25312500000001137,SPEAKER_03
45,143.9484375,146.17593749999997,2.2274999999999636,SPEAKER_00
46,146.46281249999998,149.19656249999997,2.7337499999999864,SPEAKER_00
47,149.02781249999998,152.79093749999998,3.7631250000000023,SPEAKER_03
48,153.1115625,155.3390625,2.2275000000000205,SPEAKER_03
49,155.42343749999998,158.76468749999998,3.3412500000000023,SPEAKER_00
50,163.4221875,164.7215625,1.2993749999999977,SPEAKER_02
51,167.92781250000002,171.5390625,3.611249999999984,SPEAKER_01
52,171.6740625,172.61906249999998,0.9449999999999932,SPEAKER_02
53,172.3828125,172.92281250000002,0.5400000000000205,SPEAKER_01
54,172.78781249999997,180.3646875,7.57687500000003,SPEAKER_02
55,180.55031250000002,186.35531250000003,5.805000000000007,SPEAKER_02
56,186.6590625,188.92031250000002,2.261250000000018,SPEAKER_02
57,189.52781249999998,190.4896875,0.9618750000000205,SPEAKER_02
58,192.68343750000003,192.81843750000002,0.1349999999999909,SPEAKER_02
59,192.81843750000002,195.73781250000002,2.9193750000000023,SPEAKER_01
60,196.0753125,196.90218750000003,0.8268750000000296,SPEAKER_01
61,197.3746875,204.5803125,7.205624999999998,SPEAKER_01
62,204.8671875,205.9640625,1.0968750000000114,SPEAKER_01
